id,label,timeset,users_can_post,link,category,username,talking_about_count,post_activity,fan_count,modularity_class,pageranks
45159539002,Charlotte Chamber,,yes,https://www.facebook.com/CharlotteChamber/,Nonprofit Organization,CharlotteChamber,58,0.05,6524,0,7.59766312593261E-4
34515705853,Sedona Chamber of Commerce,,yes,https://www.facebook.com/SedonaChamberofCommerce/,Community Organization,SedonaChamberofCommerce,252,0.06,9706,0,7.225619596593051E-4
53805735731,Columbus Chamber of Commerce,,yes,https://www.facebook.com/columbuschamberoh/,Product/Service,columbuschamberoh,99,0.04,4104,0,7.225619596593051E-4
71979678298,Sevierville Chamber of Commerce,,yes,https://www.facebook.com/seviervillechamber/,Government Organization,seviervillechamber,97,0.02,6871,0,4.950097874631445E-4
38778502622,Manatee Chamber of Commerce,,yes,https://www.facebook.com/ManateeChamber/,Business Service,ManateeChamber,171,0.03,6582,0,7.225619596593051E-4
101901553697,The American Legion Online Update,,no,https://www.facebook.com/the.american.legion/,Organization,the.american.legion,7936,0.46,57527,0,0.004338024463042195
42912999869,RecruitMilitary,,yes,https://www.facebook.com/recruitmilitary/,Business Consultant,recruitmilitary,667,0.06,99084,0,0.0017507653448270663
233167250048275,U.S. Chamber of Commerce - Southeast Region,,yes,https://www.facebook.com/uschambersoutheast/,Political Organization,uschambersoutheast,5,0.0,1879,0,0.0012864586684241675
139083209493690,Image Solutions Graphic Design and Print,,yes,https://www.facebook.com/ImageSolutionsNC/,Signs & Banner Service,ImageSolutionsNC,14,0.01,380,0,3.5832200736959045E-4
5550296508,CNN,,no,https://www.facebook.com/cnn/,Media/News Company,cnn,2145905,2.49,28103983,0,9.996470908911076E-4
89742860745,NBC,,no,https://www.facebook.com/nbc/,TV Network,nbc,94002,0.06,2594045,0,0.005087974754497659
168502789179,Free Enterprise,,no,https://www.facebook.com/FreeEnterprise/,Cause,FreeEnterprise,852,0.02,306712,0,0.0015523974541654293
295843930535247,Support Our American Servicemembers USA,,no,https://www.facebook.com/SupportOurAmericanServicemembersUSA/,Company,SupportOurAmericanServicemembersUSA,526,0.0,1467632,0,0.001943143500925424
242960515598,Military Spouse,,yes,https://www.facebook.com/MilitarySpouse/,Society & Culture Website,MilitarySpouse,2946,0.1,148500,0,0.001387771572645131
141213311189,Student Veterans of America,,no,https://www.facebook.com/studentvets/,Nonprofit Organization,studentvets,2800,0.12,22177,0,0.004329522913121153
155869377766434,NBC News,,no,https://www.facebook.com/NBCNews/,Broadcasting & Media Production Company,NBCNews,851355,2.06,9162578,0,0.004932195361717886
118850893751,GOARMY.COM,,yes,https://www.facebook.com/goarmy/,Government Website,goarmy,6514,0.03,1149174,0,0.00342471110883691
217042158310061,Joining Forces,,no,https://www.facebook.com/JoiningForces/,Community,JoiningForces,51,0.0,63744,0,0.005070948193513488
262183904582,Feds Hire Vets,,no,https://www.facebook.com/Feds-Hire-Vets-262183904582/,Government Organization,,168,0.02,56435,0,0.002583247370192173
15408433177,U.S. Department of Veterans Affairs,,no,https://www.facebook.com/VeteransAffairs/,Medical & Health,VeteransAffairs,11979,0.14,1185857,5,0.016674829812609804
32682889528,U.S. Chamber of Commerce,,no,https://www.facebook.com/uschamber/,Nonprofit Organization,uschamber,4357,0.13,424173,0,0.003448617977270601
8532248414,Wounded Warrior Project,,yes,https://www.facebook.com/wwp/,Nonprofit Organization,wwp,9365,0.23,3275976,5,0.014243282312227585
165406143526115,Spouse Education and Career Opportunities Program - SECO,,yes,https://www.facebook.com/DoDMilSpouse/,Government Organization,DoDMilSpouse,237,0.07,33564,0,0.0024741335841802613
21444503120,Hire Heroes USA,,yes,https://www.facebook.com/HireHeroesUSA/,Nonprofit Organization,HireHeroesUSA,314,0.06,43379,0,0.0012806820899853618
8607847994,Iraq and Afghanistan Veterans of America,,yes,https://www.facebook.com/IAVA.org/,Nonprofit Organization,IAVA.org,6032,0.2,531894,1,0.00997377886086511
12375354406,USO,,yes,https://www.facebook.com/theUSO/,Nonprofit Organization,theUSO,126850,0.13,979197,0,0.010417109273514333
131303296897437,Grunt Style,,yes,https://www.facebook.com/gruntstyle/,Clothing (Brand),gruntstyle,204254,1.05,2024769,4,0.005658193413658438
1454925471437238,"Donald """"Cowboy"""" Cerrone",,yes,https://www.facebook.com/DonaldCowboyCerrone/,Athlete,DonaldCowboyCerrone,396,0.01,190502,4,3.479942379810878E-4
936693813054962,Club Grunt Style,,yes,https://www.facebook.com/ClubGruntStyle1776/,Clothing Company,ClubGruntStyle1776,17940,0.61,87484,4,3.479942379810878E-4
1744567989088426,Grunt Style Events,,yes,https://www.facebook.com/gruntstyleevents/,Concert Tour,gruntstyleevents,5716,0.42,16137,4,3.7488479144682715E-4
415738298576792,UTusk,,yes,https://www.facebook.com/UTusk/,Sports & Recreation Venue,UTusk,14,0.02,919,4,3.9351611657811094E-4
131600695735,The Color Morale,,yes,https://www.facebook.com/thecolormorale/,Musician/Band,thecolormorale,1711,0.02,318799,4,3.479942379810878E-4
178704912164035,Hi-Rez,,yes,https://www.facebook.com/HiRezFans/,Musician/Band,HiRezFans,5423,0.02,1154615,4,3.479942379810878E-4
1662195247371595,Chris Mintz,,yes,https://www.facebook.com/Chris-Mintz-1662195247371595/,Public Figure,,12,0.0,11873,4,3.479942379810878E-4
46440585142,Maxim,,no,https://www.facebook.com/maximmagazine/,Media/News Company,maximmagazine,131106,1.16,3038166,4,4.958922820426543E-4
1106656179363577,Alpha Outpost,,yes,https://www.facebook.com/alphaoutpost/,Lifestyle Service,alphaoutpost,13393,0.61,111250,4,5.014933894882057E-4
